Sample ID	Group (Associated with)	Extraction Batch Id#	Sample Type	Timepoint (weeks)	Genotype	Mouse #	Sex	Endpoint Age (weeks)	Gavage Order	Cage Number	Colon Tumor #	Forward primer	Reverse primer
162	BF+NF	49	DC Tissue	2	ApcMin IL10 KO	3	M	14.43	9	3	0	F10	R5
163	BF+NF	52	DC Tissue	12	ApcMin IL10 KO	6	F	24.71	6	2	1	F10	R6
164	BF+T #1	2	DC Tissue	12	ApcMin IL10 KO	2	F	24.57	N/A	1	5	F10	R7
165	BF+T #1	6	DC Tissue	12	ApcMin IL10 KO	6	M	24.57	N/A	2	1	F10	R8
166	BF+bx	26	DC Tissue	12	ApcMin IL10 KO	2	F	22.71	3	1	N/A	F10	R9
167	BF+T #1	4	DC Tissue	12	ApcMin IL10 KO	4	F	24.57	N/A	1	9	F10	R10
168	BF+T #3	36	DC Tissue	16	ApcMin IL10 KO	1	F	27.86	1	1	1	F10	R11
169	BF+T #3	46	DC Tissue	20	Apcmin	11	F	29.57	2	1	5	F10	R12
170	BF+T #3	40	DC Tissue	20	ApcMin IL10 KO	5	F	32.71	5	2	3	F10	R13
171	BF+T #2	16	DC Tissue	12	ApcMin IL10 KO	1	F	23.43	8	1	3	F10	R14
172	BF+NF	53	DC Tissue	12	ApcMin IL10 KO	7	M	24.71	1	1	3	F10	R15
173	BF+NF	51	DC Tissue	12	ApcMin IL10 KO	5	F	24.57	3	2	N/A	F10	R16
174	BF+bx	29	DC Tissue	12	ApcMin IL10 KO	5	F	23.57	1	1	3	F11	R1
175	BF+T #3	39	DC Tissue	20	ApcMin IL10 KO	4	M	32.71	8	3	6	F11	R2
176	BF+T #3	42	DC Tissue	16	ApcMin IL10 KO	7	F	29	6	2	3	F11	R3
177	BF+bx	30	DC Tissue	12	ApcMin IL10 KO	6	F	24.57	2	1	7	F11	R4
178	BF+T #3	41	DC Tissue	20	ApcMin IL10 KO	6	F	32.71	7	2	10	F11	R5
179	BF+T #1	5	DC Tissue	12	ApcMin IL10 KO	5	M	24.57	N/A	2	1	F11	R6
180	BF+bx	32	DC Tissue	12	ApcMin	8	F	23.14	10	3	N/A	F11	R7
181	BF-bx	13	Blank (excluded)	12	ApcMin	6	F	22	7	1	0	F11	R8
182	BF+T #2	21	Blank (excluded)	12	ApcMin	6	F	23.43	6	1	2	F11	R9
