fileName	sampleID	read	Bacteroidetes	Firmicutes	Verrucomicrobia	Actinobacteria	Spirochaetes	Fusobacteria	Proteobacteria	Cyanobacteria/Chloroplast	Acidobacteria	Synergistetes	Tenericutes	Candidatus Saccharibacteria	Deinococcus-Thermus	Thermotogae	SR1	Parcubacteria	Planctomycetes	Microgenomates	Lentisphaerae	Crenarchaeota
121_R2.fasta	121	2	20271	27683	2404	13	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0
122_R1.fasta	122	1	22070	24398	3414	43	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0
122_R2.fasta	122	2	22011	24226	3424	43	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	1
123_R1.fasta	123	1	100	136	18	8	1	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0
123_R2.fasta	123	2	98	136	18	7	1	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0
124_R1.fasta	124	1	1	16	0	4	0	5	41264	1	0	0	0	1	0	0	0	0	0	0	0	0
124_R2.fasta	124	2	1	12	0	4	0	5	41060	1	0	0	0	1	0	0	0	0	0	0	0	0
125_R1.fasta	125	1	15	2	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0
125_R2.fasta	125	2	17	1	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0
126_R1.fasta	126	1	16670	34818	4113	22	0	0	237	2	0	0	0	0	0	0	0	0	0	0	0	0
126_R2.fasta	126	2	16646	35424	4116	23	0	0	229	2	1	0	0	0	0	0	0	0	0	0	0	0
127_R1.fasta	127	1	12807	11173	2855	80	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0
127_R2.fasta	127	2	12799	11215	2864	79	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0
128_R1.fasta	128	1	18469	11737	1155	43	0	0	399	0	0	0	0	0	0	0	0	0	0	0	0	0
128_R2.fasta	128	2	18436	11758	1155	43	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0
129_R1.fasta	129	1	14671	18338	544	68	0	2	781	1	0	0	0	0	0	0	0	0	0	0	0	0
129_R2.fasta	129	2	14626	18565	544	68	0	2	776	1	0	0	0	0	0	0	0	0	0	0	0	0
12_R1.fasta	12	1	9055	12959	1408	17	0	5	575	0	0	0	0	1	0	0	0	0	0	0	0	0
12_R2.fasta	12	2	9024	13030	1413	15	0	5	576	0	0	0	0	0	0	0	0	0	0	0	0	0
130_R1.fasta	130	1	6072	10243	649	29	0	0	1723	0	0	0	0	0	0	0	0	0	0	0	0	0
130_R2.fasta	130	2	6046	10334	646	28	0	0	1715	0	1	0	0	0	0	0	0	0	0	0	0	0
131_R1.fasta	131	1	11454	24358	1097	11	0	5	579	0	0	0	0	1	0	0	0	0	0	0	0	0
131_R2.fasta	131	2	11402	24733	1100	11	0	5	570	0	1	0	0	1	0	0	0	0	0	0	0	0
132_R1.fasta	132	1	17753	14907	1689	41	0	2	544	0	0	0	0	3	0	0	0	0	0	0	0	0
132_R2.fasta	132	2	17678	14946	1695	41	0	2	538	0	0	0	0	2	0	0	0	0	0	0	0	1
133_R1.fasta	133	1	12589	12555	6136	177	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0
133_R2.fasta	133	2	12566	12525	6152	169	0	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0
134_R1.fasta	134	1	9582	22337	1682	19	0	0	905	0	0	0	0	0	0	0	0	0	0	0	0	0
134_R2.fasta	134	2	9535	22530	1683	18	0	0	900	0	0	0	0	0	0	0	0	0	0	0	0	1
135_R1.fasta	135	1	10192	27195	1896	23	0	3	946	0	0	0	0	0	0	0	0	0	0	0	0	0
135_R2.fasta	135	2	10150	27455	1894	24	0	3	939	0	0	0	0	0	0	0	0	0	0	0	0	0
136_R1.fasta	136	1	17856	12253	4255	46	0	3	1526	0	0	0	0	0	0	0	0	0	0	0	0	0
136_R2.fasta	136	2	17780	12370	4233	47	0	3	1507	0	0	0	0	0	0	0	0	0	0	0	0	0
137_R1.fasta	137	1	25736	23588	5185	555	0	8	2965	0	0	0	0	0	0	0	0	0	0	0	0	0
137_R2.fasta	137	2	25668	23631	5188	533	0	8	2931	0	0	0	0	0	0	0	0	0	0	0	0	0
138_R1.fasta	138	1	13179	31914	3777	160	0	7	3421	15	0	0	0	0	0	0	0	0	0	0	0	0
138_R2.fasta	138	2	13149	32436	3782	159	0	7	3392	10	0	0	0	0	0	0	0	0	0	0	0	0
139_R1.fasta	139	1	16991	36411	1884	87	0	1	5795	0	0	0	0	0	0	0	0	0	0	0	0	0
139_R2.fasta	139	2	16937	37769	1883	87	0	1	5720	0	0	0	0	0	0	0	0	0	0	0	0	1
13_R1.fasta	13	1	13369	41451	1995	34	0	3	2068	0	0	0	0	1	0	0	0	0	0	0	0	0
13_R2.fasta	13	2	13338	41865	1994	34	0	3	2053	0	0	0	0	1	0	0	0	0	0	0	0	0
140_R1.fasta	140	1	13720	11643	641	7	0	0	1422	3	0	0	0	0	0	0	0	0	0	0	0	0
140_R2.fasta	140	2	13693	11654	642	7	0	0	1416	2	1	0	0	0	0	0	0	0	0	0	0	0
141_R1.fasta	141	1	17685	13278	647	55	0	0	1528	0	0	0	0	0	0	0	0	0	0	0	0	0
141_R2.fasta	141	2	17645	13383	649	54	0	0	1514	0	0	0	0	0	0	0	0	0	0	0	0	0
142_R1.fasta	142	1	19868	15178	856	38	0	0	2906	0	0	0	0	2	0	0	0	0	0	0	0	0
142_R2.fasta	142	2	19851	15160	854	38	0	0	2873	0	0	0	0	2	0	0	0	0	0	0	0	0
143_R1.fasta	143	1	30275	15931	905	34	0	0	3665	0	0	0	0	0	0	0	0	0	0	0	0	0
143_R2.fasta	143	2	30222	16242	908	35	0	0	3629	0	0	0	0	0	0	0	0	0	0	0	0	0
144_R1.fasta	144	1	8395	14499	781	65	0	0	6857	0	0	0	0	0	0	0	0	0	0	0	0	0
144_R2.fasta	144	2	8370	14621	781	65	0	0	6801	0	0	0	0	0	0	0	0	0	0	0	0	0
145_R1.fasta	145	1	13891	17147	1232	172	0	2	2568	0	0	0	0	10	0	0	0	0	0	0	0	0
145_R2.fasta	145	2	13836	17202	1234	170	0	2	2542	0	0	0	0	9	0	0	0	0	0	0	0	0
146_R1.fasta	146	1	11204	27461	1005	139	0	0	7956	0	0	0	0	0	0	0	0	0	0	0	0	0
146_R2.fasta	146	2	11160	28870	1009	139	0	0	7888	0	1	0	0	0	0	0	0	0	0	0	0	0
147_R1.fasta	147	1	16672	14969	6790	112	0	0	2867	0	0	0	0	0	0	0	0	0	0	0	0	0
147_R2.fasta	147	2	16610	15251	6777	110	0	0	2846	0	0	0	0	0	0	0	0	0	0	0	0	0
148_R1.fasta	148	1	16592	26941	4430	95	0	0	1911	0	0	0	0	1	0	0	0	0	0	0	0	0
148_R2.fasta	148	2	16543	27234	4414	93	0	0	1890	0	1	0	0	4	0	0	0	0	0	0	0	0
149_R1.fasta	149	1	18247	13024	1985	14	0	2	4897	0	0	0	0	0	14	0	0	0	0	0	0	0
149_R2.fasta	149	2	18173	13160	1982	13	0	2	4849	0	0	0	0	0	15	0	0	0	0	0	0	0
14_R1.fasta	14	1	14868	26822	1694	19	0	1	2103	0	0	0	0	0	0	0	0	0	0	0	0	1
14_R2.fasta	14	2	14815	26992	1690	17	0	1	2091	0	0	0	0	0	0	0	0	0	0	0	0	0
150_R1.fasta	150	1	10576	17384	1847	7	0	0	1392	0	0	0	0	0	0	0	0	0	0	0	0	0
150_R2.fasta	150	2	10539	17783	1850	7	0	0	1373	0	0	0	0	0	0	0	0	0	0	0	0	0
151_R1.fasta	151	1	15081	14343	5338	177	0	2	4814	0	0	0	0	0	0	1	0	0	0	0	0	0
151_R2.fasta	151	2	15037	14354	5346	173	0	2	4763	0	0	0	0	0	0	0	0	0	0	0	0	0
152_R1.fasta	152	1	19391	22296	2388	25	0	0	2585	0	0	0	0	0	0	0	0	0	0	0	0	0
152_R2.fasta	152	2	19291	22606	2380	24	0	0	2561	0	0	0	0	0	0	0	0	0	0	0	0	0
153_R1.fasta	153	1	18871	16962	2032	62	0	0	5056	0	0	0	0	0	0	0	0	0	0	0	0	0
153_R2.fasta	153	2	18831	17126	2021	62	0	0	5012	0	0	0	0	0	0	0	0	0	0	0	0	1
154_R1.fasta	154	1	17184	14234	810	51	0	3	6499	0	0	0	0	0	0	0	0	0	0	0	0	0
154_R2.fasta	154	2	17119	14531	809	51	0	4	6452	0	0	0	0	0	0	0	0	0	0	0	0	0
155_R1.fasta	155	1	7485	15116	1502	127	0	3	1947	0	0	0	0	0	0	0	0	0	0	0	0	0
155_R2.fasta	155	2	7451	15127	1500	122	0	3	1928	0	1	0	0	0	0	0	0	0	0	0	0	0
156_R1.fasta	156	1	17777	23370	5459	135	0	0	3641	0	0	0	0	0	0	0	0	0	0	0	0	0
156_R2.fasta	156	2	17730	23382	5465	127	0	0	3608	0	0	0	0	0	0	0	0	0	0	0	0	0
157_R1.fasta	157	1	9716	15175	863	117	0	0	2383	0	0	0	0	0	0	0	0	0	0	0	0	0
157_R2.fasta	157	2	9673	15162	868	114	0	0	2356	0	0	0	0	0	0	0	0	0	0	0	0	0
158_R1.fasta	158	1	20689	13525	1827	13	0	0	1570	0	0	0	0	0	0	0	0	0	0	0	0	0
158_R2.fasta	158	2	20647	13594	1831	12	0	0	1557	0	0	0	0	0	0	0	0	0	0	0	0	0
159_R1.fasta	159	1	7625	23275	722	43	0	0	3055	0	0	0	0	0	0	0	0	0	0	0	0	0
159_R2.fasta	159	2	7582	23749	720	43	0	0	3022	0	0	0	0	0	0	0	0	0	0	0	0	0
15_R1.fasta	15	1	17965	33597	2334	56	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0
15_R2.fasta	15	2	17907	33849	2342	56	0	0	448	0	1	0	0	0	0	0	0	0	0	0	0	0
160_R1.fasta	160	1	12698	14628	1745	12	0	0	924	0	0	0	0	0	0	0	0	0	0	0	0	0
160_R2.fasta	160	2	12660	14547	1744	12	0	0	911	0	0	0	0	0	0	0	0	0	0	0	0	0
161_R1.fasta	161	1	11671	11862	1216	6	0	2	4173	0	0	0	0	0	0	0	0	0	0	0	0	0
161_R2.fasta	161	2	11659	11955	1214	6	0	1	4129	0	0	0	0	0	0	0	0	0	0	0	0	0
162_R1.fasta	162	1	16065	11610	598	81	0	2	9575	0	0	0	0	0	0	0	0	0	0	0	0	0
162_R2.fasta	162	2	16017	11899	597	79	0	2	9496	0	0	0	0	0	0	0	0	0	0	0	0	0
163_R1.fasta	163	1	11880	18036	641	44	0	4	973	0	0	0	0	0	0	0	1	0	0	0	0	0
163_R2.fasta	163	2	11848	18147	642	44	0	4	956	0	0	0	0	0	0	0	1	0	0	0	0	0
164_R1.fasta	164	1	9014	13653	856	70	0	0	2764	0	0	0	0	0	0	0	0	0	0	0	0	0
164_R2.fasta	164	2	8972	13776	857	74	0	0	2737	0	0	0	0	0	0	0	0	0	0	0	0	0
165_R1.fasta	165	1	5571	7295	620	3	0	0	1753	0	0	0	0	0	0	0	0	0	0	0	0	0
165_R2.fasta	165	2	5547	7430	620	3	0	0	1728	0	1	0	0	0	0	0	0	0	0	0	0	0
166_R1.fasta	166	1	3817	13500	834	6	0	0	3559	0	0	0	0	0	0	0	0	0	0	0	0	0
166_R2.fasta	166	2	3786	13626	832	6	0	0	3511	0	0	0	0	0	0	0	0	0	0	0	0	0
167_R1.fasta	167	1	9987	7823	1237	59	0	7	3006	0	14	0	0	0	0	0	0	0	0	0	0	0
167_R2.fasta	167	2	9957	7769	1234	57	0	6	2969	0	14	0	0	0	0	0	0	0	0	0	0	0
168_R1.fasta	168	1	16298	13118	1505	2	0	10	3367	0	0	0	0	28	0	0	0	0	0	0	0	1
168_R2.fasta	168	2	16287	13253	1509	2	0	10	3336	0	1	0	0	37	0	0	0	0	0	0	0	0
169_R1.fasta	169	1	25451	18148	1774	10	0	1	2673	0	0	0	0	0	0	0	0	0	0	0	0	0
169_R2.fasta	169	2	25434	18152	1782	9	0	1	2652	0	0	0	0	0	0	0	0	3	0	0	0	0
16_R1.fasta	16	1	13932	13395	2529	42	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0
16_R2.fasta	16	2	13889	13350	2527	43	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0
170_R1.fasta	170	1	17275	14020	1527	5	0	1	2827	0	0	0	0	0	0	0	0	0	0	0	0	0
170_R2.fasta	170	2	17209	14029	1525	3	0	1	2804	0	0	0	0	0	0	0	0	0	0	0	0	0
171_R1.fasta	171	1	1750	4936	73	44	0	0	1945	0	0	0	0	0	0	0	0	0	0	0	0	0
171_R2.fasta	171	2	1740	4949	75	41	0	0	1914	0	1	0	0	0	0	0	0	0	0	0	0	0
172_R1.fasta	172	1	11774	14598	639	28	0	0	1340	0	0	0	0	0	0	0	0	0	0	0	0	0
172_R2.fasta	172	2	11732	14631	638	26	0	0	1320	0	0	0	0	0	0	0	0	0	0	0	0	0
173_R1.fasta	173	1	12976	11372	1132	50	0	0	6593	0	0	0	0	0	0	0	0	0	0	0	0	0
173_R2.fasta	173	2	12942	11270	1130	50	0	0	6531	0	0	0	0	0	0	0	0	0	0	0	0	1
174_R1.fasta	174	1	2227	8732	360	26	0	0	3558	0	0	0	0	0	0	0	0	0	0	0	0	0
174_R2.fasta	174	2	2221	8819	359	26	0	0	3539	0	0	0	0	0	0	0	0	0	0	0	0	0
175_R1.fasta	175	1	13778	20830	1451	27	0	0	1178	0	0	0	0	0	0	0	0	0	0	0	0	0
175_R2.fasta	175	2	13733	20910	1450	27	0	0	1164	0	0	0	0	0	0	0	0	0	0	0	0	0
176_R1.fasta	176	1	8787	10727	2546	0	0	0	937	48	0	0	0	0	0	0	0	0	0	0	0	0
176_R2.fasta	176	2	8756	10792	2546	0	0	0	927	43	1	0	0	0	0	0	0	0	0	0	0	0
177_R1.fasta	177	1	6213	19628	1393	68	0	0	1741	0	0	0	0	0	0	0	0	0	0	0	0	0
177_R2.fasta	177	2	6197	19762	1395	68	0	0	1724	0	0	0	0	0	0	0	0	0	0	0	0	1
178_R1.fasta	178	1	9826	22323	455	49	0	3	2514	0	0	0	0	0	0	0	0	0	0	0	0	0
178_R2.fasta	178	2	9791	22510	455	48	0	3	2497	0	0	0	0	0	0	0	0	0	0	0	0	1
179_R1.fasta	179	1	3830	4536	3	16	0	1	884	0	0	0	0	0	0	0	0	0	3	0	0	0
179_R2.fasta	179	2	3804	4307	2	14	0	1	845	0	0	0	0	0	0	0	0	0	3	0	0	1
17_R1.fasta	17	1	14	15	2	3	1	9	1	0	0	0	0	1	0	0	0	0	0	0	0	0
17_R2.fasta	17	2	14	15	2	3	1	9	1	0	0	0	0	1	0	0	0	0	0	0	0	0
180_R1.fasta	180	1	16839	31707	2764	11	0	8	1091	0	0	0	0	0	0	0	0	0	0	0	0	0
180_R2.fasta	180	2	16682	32468	2755	10	0	8	1039	0	0	0	0	0	0	0	0	0	0	0	0	0
181_R1.fasta	181	1	2	7	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
181_R2.fasta	181	2	2	8	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
182_R1.fasta	182	1	4	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
182_R2.fasta	182	2	3	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
183_R1.fasta	183	1	11170	19793	2686	9	0	0	439	0	0	0	0	0	0	0	0	0	0	0	0	0
183_R2.fasta	183	2	11108	20228	2647	8	0	0	430	0	0	0	0	0	0	0	0	0	0	0	0	1
184_R1.fasta	184	1	12351	42875	3870	27	0	0	2294	0	0	0	0	0	0	0	0	0	0	0	0	0
184_R2.fasta	184	2	12232	43454	3774	24	0	0	2238	0	1	0	0	0	0	0	0	0	0	0	0	1
185_R1.fasta	185	1	6917	34026	655	16	0	0	492	0	0	0	0	0	0	0	0	0	0	0	0	0
185_R2.fasta	185	2	6841	34408	652	16	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0
186_R1.fasta	186	1	26922	21594	10102	114	0	4	422	0	0	0	0	0	0	0	0	0	0	0	0	1
186_R2.fasta	186	2	26834	21888	10168	115	0	3	421	0	1	0	0	0	0	0	0	0	0	0	0	0
187_R1.fasta	187	1	23097	54087	5489	12	0	4	40	0	0	0	0	0	0	0	0	0	0	0	0	0
187_R2.fasta	187	2	23003	54900	5485	12	0	4	40	0	0	0	0	0	0	0	0	0	0	0	0	1
188_R1.fasta	188	1	23090	50037	10580	197	0	2	1314	0	0	0	0	0	0	0	0	0	0	0	0	0
188_R2.fasta	188	2	22954	50939	10628	196	0	2	1261	0	0	0	0	0	0	0	0	0	0	0	0	0
189_R1.fasta	189	1	30857	30997	23195	235	0	6	99	0	0	0	0	0	0	0	0	0	0	0	0	0
189_R2.fasta	189	2	30694	31075	23190	216	0	6	92	0	1	0	0	1	0	0	0	0	0	0	0	2
18_R1.fasta	18	1	5391	10573	121	33	0	77	250	2	0	1	0	0	0	0	0	0	0	0	0	0
18_R2.fasta	18	2	5352	10584	121	29	0	63	214	1	0	1	0	0	0	0	0	1	0	1	0	0
190_R1.fasta	190	1	17651	31174	59	327	0	0	998	0	0	0	0	0	0	0	0	0	0	0	0	0
190_R2.fasta	190	2	17581	32049	54	334	0	0	967	0	0	0	0	0	0	0	0	0	0	0	0	0
191_R1.fasta	191	1	7643	34193	2200	48	0	0	451	0	0	0	0	0	0	0	0	0	0	0	0	0
191_R2.fasta	191	2	7565	35120	2169	49	0	0	447	0	0	0	0	0	0	0	0	0	0	0	0	0
192_R1.fasta	192	1	4022	27104	799	91	0	3	363	0	0	0	0	0	0	0	0	0	0	0	0	0
192_R2.fasta	192	2	3986	27967	792	89	0	3	356	0	0	0	0	0	0	0	0	0	0	0	0	0
193_R1.fasta	193	1	14393	45951	662	681	0	9	1484	0	0	0	0	2	0	0	0	0	0	0	0	0
193_R2.fasta	193	2	14362	49639	669	671	0	9	1445	0	0	0	0	1	0	0	0	0	0	0	0	0
194_R1.fasta	194	1	8596	92052	496	135	1	5	127	0	0	0	1	0	0	0	0	0	0	0	0	1
194_R2.fasta	194	2	8536	95763	489	140	1	5	126	0	0	0	1	0	0	0	0	0	0	0	0	0
195_R1.fasta	195	1	17091	44571	781	62	0	4	329	0	0	0	0	1	0	0	0	0	0	0	0	0
195_R2.fasta	195	2	16975	45860	792	61	0	5	332	0	1	0	0	1	0	0	0	0	0	0	0	0
196_R1.fasta	196	1	22047	34932	1158	1507	0	0	721	0	0	0	0	0	0	0	0	0	0	0	0	1
196_R2.fasta	196	2	22069	34926	1131	1403	0	0	657	0	0	0	0	0	0	0	0	0	0	0	0	1
197_R1.fasta	197	1	27825	33916	13216	179	0	0	4467	0	0	0	0	0	0	0	0	0	0	0	0	1
197_R2.fasta	197	2	27685	34137	13210	176	0	0	4389	0	1	0	0	0	0	0	0	0	0	0	0	0
198_R1.fasta	198	1	17008	12636	9928	145	0	0	1490	0	0	0	0	0	0	0	0	0	0	0	0	0
198_R2.fasta	198	2	16963	12634	9929	146	0	0	1465	0	0	0	0	0	0	0	0	0	0	0	0	0
199_R1.fasta	199	1	47586	10004	10544	66	0	0	785	0	0	0	0	0	0	0	0	0	0	0	0	0
199_R2.fasta	199	2	47602	10208	10582	63	0	0	757	0	0	0	0	0	1	0	0	2	0	0	0	3
19_R1.fasta	19	1	21543	16060	4318	29	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0
19_R2.fasta	19	2	21479	16196	4310	31	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	1
1_R1.fasta	1	1	28209	31406	3140	134	0	0	1017	0	0	0	0	0	0	0	0	0	0	0	0	0
1_R2.fasta	1	2	28132	32114	3130	127	0	0	1005	0	2	0	0	0	0	0	0	0	0	0	0	0
200_R1.fasta	200	1	9304	62448	4159	28	0	0	2139	0	0	0	0	0	0	0	0	0	0	0	0	0
200_R2.fasta	200	2	9260	62848	4102	25	0	0	2093	0	0	0	0	0	0	0	0	0	0	0	0	0
201_R1.fasta	201	1	24756	25667	20889	63	0	0	1472	0	0	0	0	0	0	0	0	0	1	0	0	0
201_R2.fasta	201	2	24705	25971	20889	59	0	0	1418	0	1	0	0	0	0	0	0	0	1	0	0	0
202_R1.fasta	202	1	40469	40581	9601	23	0	0	602	0	0	0	0	1	0	0	0	0	0	0	0	1
202_R2.fasta	202	2	40330	40771	9649	23	0	0	590	0	0	0	0	0	0	0	0	0	0	0	0	0
203_R1.fasta	203	1	29415	5908	33684	58	0	0	1064	0	0	0	0	5	0	0	0	0	0	0	0	0
203_R2.fasta	203	2	29520	5884	33745	59	0	0	1047	0	0	0	0	3	0	0	0	0	0	0	0	0
204_R1.fasta	204	1	27	4	5	1	0	4	80739	0	0	0	0	0	0	0	0	0	0	0	0	0
204_R2.fasta	204	2	28	5	3	0	0	4	80428	0	1	0	0	0	0	0	0	0	0	0	0	0
205_R1.fasta	205	1	10	24	3	2	0	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0
205_R2.fasta	205	2	7	21	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
20_R1.fasta	20	1	14966	16391	2325	32	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0
20_R2.fasta	20	2	14942	16490	2319	33	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0
21_R1.fasta	21	1	12006	10220	2926	179	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0
21_R2.fasta	21	2	11991	10225	2921	173	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0
22_R1.fasta	22	1	9869	20150	805	19	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0
22_R2.fasta	22	2	9830	20350	801	19	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0
23_R1.fasta	23	1	14766	14442	1117	65	0	9	378	0	0	0	0	0	0	0	0	0	0	0	0	0
23_R2.fasta	23	2	14729	14791	1111	65	0	9	374	0	0	0	0	0	0	0	0	0	0	0	0	1
24_R1.fasta	24	1	13050	10045	1977	57	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0
