fileName	sampleID	read	Bacteroidales	Flavobacteriales	Sphingobacteriales	Cytophagales	Clostridiales	Lactobacillales	Bacillales	Erysipelotrichales	Selenomonadales	Verrucomicrobiales	Coriobacteriales	Actinomycetales	Bifidobacteriales	Solirubrobacterales	Nitriliruptorales	Spirochaetales	Fusobacteriales	Campylobacterales	Pasteurellales	Enterobacteriales	Oceanospirillales	Cardiobacteriales	Pseudomonadales	Vibrionales	Xanthomonadales	Alteromonadales	Chromatiales	Aeromonadales	Legionellales	Neisseriales	Burkholderiales	Methylophilales	Desulfovibrionales	Bdellovibrionales	Myxococcales	Desulfobacterales	Sphingomonadales	Rhizobiales	Caulobacterales	Rhodobacterales	Rhodospirillales	Synergistales	Mycoplasmatales	Deinococcales	Thermotogales	Planctomycetales	Victivallales	Desulfurococcales
108_R2.fasta	108	2	21049	0	0	0	16916	8026	0	3164	0	2621	129	0	0	0	0	0	0	0	0	566	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109_R1.fasta	109	1	14413	0	0	0	15267	17816	0	3071	0	1572	121	0	0	0	0	0	0	0	0	1509	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109_R2.fasta	109	2	14260	0	0	0	15255	17674	0	3294	0	1567	123	0	0	0	0	0	0	0	0	1478	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10_R1.fasta	10	1	12797	6	0	0	25881	2023	0	2806	3	3688	16	4	0	0	0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10_R2.fasta	10	2	12574	6	0	0	26049	2005	0	2809	3	3696	16	4	0	0	0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110_R1.fasta	110	1	19186	0	0	0	11064	10231	11	88	1	5165	115	17	31	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110_R2.fasta	110	2	18869	0	0	0	11065	10038	11	86	1	5169	115	13	28	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111_R1.fasta	111	1	12830	0	0	0	15034	13844	0	22	0	7976	59	6	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
111_R2.fasta	111	2	12576	0	0	0	15056	13599	0	23	0	7975	56	5	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
112_R1.fasta	112	1	20984	1	0	0	9781	10625	3	48	1	7597	102	10	118	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112_R2.fasta	112	2	20616	0	0	0	9780	10463	3	46	1	7606	102	10	101	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113_R1.fasta	113	1	14299	0	0	0	21697	315	8	607	208	62	80	95	0	0	0	0	301	31	4	169	7	0	4	10	3	0	0	0	0	83	1444	0	14	0	0	0	1	10	11	0	0	53	43	0	0	0	0	0
113_R2.fasta	113	2	14064	0	0	0	21707	315	8	586	197	64	83	91	0	0	0	0	303	29	4	143	6	0	4	10	0	0	0	0	0	81	1386	0	12	0	0	0	8	9	11	0	0	52	44	0	0	0	0	0
114_R1.fasta	114	1	4	0	0	0	5	6	0	1	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114_R2.fasta	114	2	2	0	0	0	5	6	0	1	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115_R1.fasta	115	1	20362	0	0	0	11822	7720	0	2660	0	2120	20	0	0	0	0	0	0	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115_R2.fasta	115	2	20011	0	0	0	11838	7584	0	2797	0	2124	20	0	0	0	0	0	0	0	0	394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116_R1.fasta	116	1	20634	2	0	0	8134	7256	0	1618	1	4190	30	4	0	0	0	0	1	0	0	4935	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116_R2.fasta	116	2	20386	2	0	0	8145	7179	0	1967	1	4177	29	4	0	0	0	0	1	0	0	4836	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117_R1.fasta	117	1	35948	4	0	0	17833	218	0	3607	1	1814	32	9	0	0	0	0	2	0	0	267	0	1	0	0	0	0	0	0	0	1	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
117_R2.fasta	117	2	35568	4	0	0	17850	217	0	3954	1	1820	31	8	0	0	0	0	2	0	0	259	0	1	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
118_R1.fasta	118	1	22949	0	0	0	13136	80	0	2024	0	1906	27	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
118_R2.fasta	118	2	22763	0	0	0	13143	80	0	2223	0	1893	27	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119_R1.fasta	119	1	15678	1	1	0	32910	64	2	685	556	4	82	6	0	0	0	0	77	2	0	33	0	0	0	1	0	0	0	0	0	10	669	0	14	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
119_R2.fasta	119	2	15539	1	1	0	32920	65	2	607	540	4	83	6	0	0	0	0	79	2	0	31	0	0	0	1	0	0	0	0	0	11	662	0	13	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
11_R1.fasta	11	1	16956	0	0	0	11476	7189	0	1857	3	2059	9	1	5	0	0	0	7	1	0	412	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11_R2.fasta	11	2	16801	0	0	0	11488	7123	0	2156	3	2039	8	1	5	0	0	0	6	1	0	399	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120_R1.fasta	120	1	13290	0	0	0	15708	20449	1	2320	0	1793	25	8	0	0	0	0	0	0	0	843	0	0	21	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
120_R2.fasta	120	2	13125	0	0	0	15689	20157	0	2793	0	1804	24	7	0	0	0	0	0	0	0	828	0	0	21	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
121_R1.fasta	121	1	20260	0	0	0	17790	7386	0	1966	1	2399	13	0	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121_R2.fasta	121	2	19982	0	0	0	17778	7280	0	2251	1	2403	13	0	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122_R1.fasta	122	1	22017	0	0	0	20493	1311	0	2204	0	3414	34	0	3	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122_R2.fasta	122	2	21781	0	0	0	20209	1304	0	2321	0	3423	39	0	3	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123_R1.fasta	123	1	99	0	0	0	113	7	0	14	1	18	0	8	0	0	0	1	2	1	0	2	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123_R2.fasta	123	2	97	0	0	0	109	5	0	17	1	18	0	6	0	0	0	1	2	1	0	2	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124_R1.fasta	124	1	1	0	0	0	3	9	0	2	1	0	1	3	0	0	0	0	5	1	0	41212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124_R2.fasta	124	2	1	0	0	0	1	8	0	0	1	0	1	3	0	0	0	0	5	1	0	40621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125_R1.fasta	125	1	15	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	9	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125_R2.fasta	125	2	16	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126_R1.fasta	126	1	16612	3	0	0	27182	5098	1	2255	0	4113	20	2	0	0	0	0	0	0	1	0	21	0	12	0	4	0	0	0	0	0	192	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
126_R2.fasta	126	2	16527	3	0	0	27284	5023	1	2533	1	4116	21	2	0	0	0	0	0	0	1	0	15	0	16	0	4	0	0	0	0	0	186	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
127_R1.fasta	127	1	12787	0	0	0	4897	6145	93	1	0	2855	57	4	19	0	0	0	0	0	0	1	23	0	7	0	18	0	0	0	0	2	115	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
127_R2.fasta	127	2	12626	0	0	0	4912	6116	86	1	0	2864	56	4	18	0	0	0	0	0	0	1	17	0	7	0	17	0	0	0	0	2	112	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
128_R1.fasta	128	1	18414	7	1	0	9165	1130	0	1263	0	1155	37	0	0	0	0	0	0	0	0	135	32	0	18	0	4	1	0	0	0	3	195	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0
128_R2.fasta	128	2	18232	7	2	0	9264	1131	0	1204	0	1155	43	0	0	0	0	0	0	0	0	134	26	0	18	0	4	1	0	0	0	2	196	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0
129_R1.fasta	129	1	14626	3	1	0	10527	6834	0	847	3	544	65	2	0	0	0	0	2	1	0	420	42	0	11	0	0	1	0	0	0	2	297	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0
129_R2.fasta	129	2	14454	3	1	0	10489	6768	0	1125	3	544	64	3	0	0	0	0	2	1	0	414	36	0	12	0	0	1	0	0	0	2	296	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0
12_R1.fasta	12	1	9018	4	0	0	8648	3087	0	1156	1	1407	12	4	1	0	0	0	5	3	0	570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12_R2.fasta	12	2	8932	4	0	0	8649	3054	0	1199	1	1413	12	2	1	0	0	0	5	3	0	566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130_R1.fasta	130	1	6054	1	0	0	4047	5332	0	736	5	649	23	3	0	0	0	0	0	1	0	1548	7	0	6	0	5	0	0	0	0	0	93	0	54	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
130_R2.fasta	130	2	5979	1	0	0	4050	5266	0	835	3	646	26	2	0	0	0	0	0	1	0	1529	6	0	6	0	5	0	0	0	0	0	92	0	52	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
131_R1.fasta	131	1	11403	2	1	0	21550	152	0	2475	3	1097	6	5	0	0	0	0	5	1	0	3	53	0	13	0	13	2	0	0	0	2	481	0	0	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0
131_R2.fasta	131	2	11286	2	1	0	21600	153	0	2701	3	1100	6	5	0	0	0	0	5	1	0	2	42	0	12	0	13	1	0	0	0	2	474	0	0	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0
132_R1.fasta	132	1	17692	8	0	0	10425	3361	2	1054	0	1688	32	2	3	0	0	0	2	0	0	247	29	0	16	0	3	1	0	0	0	0	234	0	0	1	0	0	0	2	11	0	0	0	0	0	0	0	0	0
132_R2.fasta	132	2	17438	8	0	0	10397	3342	2	1102	1	1695	35	2	3	0	0	0	2	0	0	241	25	0	16	0	3	1	0	0	0	0	226	0	0	1	0	0	0	1	11	0	0	0	0	0	0	0	0	0
133_R1.fasta	133	1	12565	0	0	0	7092	5384	3	35	0	6136	27	15	135	0	0	0	0	0	5	0	22	0	21	0	8	3	0	0	0	2	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133_R2.fasta	133	2	12370	0	0	0	7068	5278	3	34	0	6151	26	15	105	0	0	0	0	0	5	0	20	0	19	0	8	3	0	0	0	2	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134_R1.fasta	134	1	9554	4	4	0	7854	13863	0	499	0	1682	18	1	0	0	0	0	0	0	0	434	28	0	34	0	11	1	0	0	0	0	384	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0
134_R2.fasta	134	2	9406	4	4	0	7863	13679	0	659	0	1683	17	1	0	0	0	0	0	0	0	426	23	0	36	0	10	1	0	0	0	0	377	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0
135_R1.fasta	135	1	10158	7	0	0	8541	17776	0	721	0	1896	10	13	0	0	0	0	3	0	1	405	57	0	31	0	29	3	0	0	0	7	381	0	0	0	0	0	1	7	12	0	0	0	0	0	0	0	0	0
135_R2.fasta	135	2	10035	7	0	0	8562	17546	0	939	0	1894	10	14	0	0	0	0	3	0	0	402	49	0	34	0	28	3	0	0	0	7	377	0	0	0	0	0	1	7	11	0	0	0	0	0	0	0	0	0
136_R1.fasta	136	1	17776	5	1	0	9726	1594	0	861	0	4255	16	30	0	0	0	0	3	1	0	452	93	0	62	0	54	6	0	0	0	9	803	0	0	0	0	0	1	14	20	0	0	0	0	0	0	0	0	0
136_R2.fasta	136	2	17558	5	1	0	9729	1588	0	914	0	4233	17	29	0	0	0	0	3	1	0	450	81	0	64	0	50	5	0	0	0	8	782	0	0	0	0	0	1	11	19	0	0	0	0	0	0	0	0	0
137_R1.fasta	137	1	25645	0	6	0	18530	4972	0	16	0	5183	214	72	269	0	0	0	8	0	0	29	334	0	130	0	124	10	0	0	0	13	2182	0	1	1	0	0	34	78	9	0	0	0	0	0	0	0	0	0
137_R2.fasta	137	2	25310	0	6	0	18587	4906	0	18	0	5188	214	71	207	0	0	0	8	0	0	27	292	0	131	0	119	11	0	0	0	12	2145	0	1	1	0	0	33	68	9	0	0	0	0	0	0	0	0	0
138_R1.fasta	138	1	13120	9	1	0	23972	6357	14	1373	2	3777	136	24	0	0	0	0	7	2	0	10	341	0	132	0	47	24	0	0	0	15	2724	0	0	0	0	0	14	29	57	0	0	0	0	0	0	0	0	0
138_R2.fasta	138	2	13033	9	1	0	24167	6285	15	1732	2	3781	135	22	0	0	0	0	7	2	0	9	294	0	133	0	44	25	0	0	0	15	2698	0	0	0	0	0	14	26	58	0	0	0	0	0	0	0	0	0
139_R1.fasta	139	1	16872	14	4	0	28380	5202	3	2436	0	1884	78	9	0	0	0	0	1	0	0	23	417	0	293	0	32	67	0	0	0	20	4834	0	0	1	0	0	5	2	35	0	0	0	0	0	0	0	0	0
139_R2.fasta	139	2	16748	14	4	0	29031	5157	2	3295	0	1882	78	9	0	0	0	0	1	0	0	21	356	0	301	0	30	71	0	0	0	20	4746	0	0	1	0	0	5	16	33	0	0	0	0	0	0	0	0	0
13_R1.fasta	13	1	13338	0	0	0	14033	25298	0	1749	1	1995	26	2	6	0	0	0	3	2	1	2057	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13_R2.fasta	13	2	13209	0	0	0	14026	25021	0	2191	1	1994	26	1	6	0	0	0	3	2	1	2028	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140_R1.fasta	140	1	13672	7	3	0	9994	92	0	1466	0	641	5	2	0	0	0	0	0	0	1	116	85	0	82	0	0	13	0	0	0	7	1064	0	0	0	0	0	25	1	18	0	0	0	0	0	0	0	0	0
140_R2.fasta	140	2	13524	8	1	0	9984	92	0	1426	0	640	5	2	0	0	0	0	0	0	1	117	74	0	85	0	0	12	0	0	0	7	1055	0	0	0	0	0	23	0	17	0	0	0	0	0	0	0	0	0
141_R1.fasta	141	1	17635	10	1	0	11433	269	0	1421	0	647	36	19	0	0	0	0	0	0	0	229	102	0	56	0	6	7	0	0	0	3	1097	0	0	9	0	0	0	3	8	0	0	0	0	0	0	0	0	0
141_R2.fasta	141	2	17471	9	1	0	11443	265	0	1444	0	649	36	18	0	0	0	0	0	0	0	226	89	0	60	0	6	7	0	0	0	3	1077	0	0	9	0	0	0	3	9	0	0	0	0	0	0	0	0	0
142_R1.fasta	142	1	19793	0	4	0	11359	1686	14	1811	0	856	15	22	0	0	0	0	0	0	0	142	279	0	137	0	1	2	0	0	0	9	2255	0	1	14	0	0	12	8	25	0	0	0	0	0	0	0	0	0
142_R2.fasta	142	2	19561	0	4	0	11383	1674	14	1840	0	854	16	22	0	0	0	0	0	0	0	139	239	0	143	0	0	2	0	0	0	9	2219	0	0	14	0	0	12	8	25	0	0	0	0	0	0	0	0	0
143_R1.fasta	143	1	30118	26	0	0	13235	366	0	2047	0	905	22	12	0	0	0	0	0	0	0	108	367	0	174	0	3	23	0	0	0	0	2935	0	0	0	0	0	0	4	25	0	0	0	0	0	0	0	0	0
143_R2.fasta	143	2	29771	26	0	0	13573	362	0	2076	0	908	23	12	0	0	0	0	0	0	0	106	313	0	171	0	3	25	0	0	0	0	2888	0	0	0	0	0	0	4	24	0	0	0	0	0	0	0	0	0
144_R1.fasta	144	1	8338	14	8	0	5205	8346	0	689	0	781	35	30	0	0	0	0	0	0	0	2990	375	0	100	0	84	14	0	0	0	6	3045	0	92	1	0	0	28	73	11	0	0	0	0	0	0	0	0	0
144_R2.fasta	144	2	8240	19	8	0	5196	8309	0	832	0	781	35	30	0	0	0	0	0	0	0	2933	321	0	99	0	83	15	0	0	0	6	3005	0	92	1	0	0	27	72	11	0	0	0	0	0	0	0	0	0
145_R1.fasta	145	1	13812	13	26	0	12419	2812	51	1752	0	1232	154	14	0	0	0	0	2	0	1	68	214	0	108	0	22	6	0	0	0	11	2096	0	0	0	0	0	0	4	7	0	0	0	0	0	0	0	0	0
145_R2.fasta	145	2	13582	14	26	0	12366	2796	48	1769	0	1233	156	13	0	0	0	0	2	0	1	65	193	0	108	0	18	8	0	0	0	11	2065	0	0	0	0	0	0	17	8	0	0	0	0	0	0	0	0	0
146_R1.fasta	146	1	11109	29	18	0	21682	3378	1	2117	0	1005	124	14	0	1	0	0	0	0	0	7	693	0	406	0	70	47	0	0	0	47	6411	0	0	0	8	0	0	73	116	0	0	0	0	0	0	0	0	0
146_R2.fasta	146	2	10884	29	16	0	22531	3336	2	2736	0	1009	125	13	0	1	0	0	0	0	0	5	590	0	415	0	68	42	0	0	0	45	6319	0	0	0	8	0	0	70	115	0	0	0	0	0	0	0	0	0
147_R1.fasta	147	1	16577	16	22	0	12911	736	0	1090	0	6790	92	20	0	0	0	0	0	0	2	100	157	0	135	0	25	18	0	0	0	13	2341	0	0	0	0	0	20	23	18	0	0	0	0	0	0	0	0	0
147_R2.fasta	147	2	16291	15	22	0	12941	734	0	1432	0	6776	92	18	0	0	0	0	0	0	1	99	134	0	134	0	23	19	0	0	0	13	2314	0	0	0	0	0	20	24	18	0	0	0	0	0	0	0	0	0
148_R1.fasta	148	1	16521	2	0	0	14650	10336	1	1681	0	4430	39	47	0	0	0	0	0	0	1	257	152	0	75	0	21	0	0	0	0	0	1112	0	264	0	0	0	2	4	14	0	0	0	0	0	0	0	0	0
148_R2.fasta	148	2	16222	2	0	0	14669	10238	0	1996	0	4413	49	43	0	0	0	0	0	0	1	251	122	0	75	0	20	0	0	0	0	0	1092	0	263	0	0	0	2	3	16	0	0	0	0	0	0	0	0	0
149_R1.fasta	149	1	18153	0	1	0	8559	3266	0	1015	0	1985	12	1	1	0	0	0	2	0	0	4394	63	0	14	0	7	1	0	0	0	0	396	0	0	0	0	0	0	1	10	0	0	0	0	14	0	0	0	0
149_R2.fasta	149	2	17921	0	0	0	8535	3212	0	1224	0	1982	12	1	0	0	0	0	2	0	0	4300	54	0	14	0	5	0	0	0	0	0	384	0	0	0	0	0	0	1	10	0	0	0	0	15	0	0	0	0
14_R1.fasta	14	1	14826	0	0	0	14802	9739	0	2117	0	1693	8	7	3	0	0	0	1	0	0	2098	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14_R2.fasta	14	2	14687	0	0	0	14780	9641	0	2249	0	1690	9	6	2	0	0	0	1	0	0	2066	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150_R1.fasta	150	1	10510	31	10	0	14125	692	5	2388	0	1846	3	0	0	4	0	0	0	0	0	8	132	0	45	0	9	17	0	0	0	0	1134	0	0	0	0	0	0	10	26	0	0	0	0	0	0	0	0	0
150_R2.fasta	150	2	10360	31	8	0	14123	675	5	2828	0	1849	3	0	0	4	0	0	0	0	0	8	110	0	43	0	8	17	0	0	0	0	1114	0	0	0	0	0	0	6	23	0	0	0	0	0	0	0	0	0
151_R1.fasta	151	1	14985	48	0	0	7452	6722	16	81	0	5337	56	66	55	0	0	0	2	1	1	9	551	0	299	6	37	16	0	0	0	73	3757	0	0	0	0	0	0	0	26	0	0	0	0	0	1	0	0	0
151_R2.fasta	151	2	14677	48	0	0	7462	6619	17	79	0	5346	55	63	48	0	0	0	2	1	1	10	466	0	299	6	31	14	0	0	0	73	3690	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0
152_R1.fasta	152	1	19284	23	1	0	9596	11681	0	744	0	2388	6	19	0	0	0	0	0	0	0	1069	115	0	27	0	0	18	0	0	0	19	1299	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0
152_R2.fasta	152	2	19040	22	0	0	9640	11529	0	1061	0	2380	5	19	0	0	0	0	0	0	0	1053	101	0	28	0	0	19	0	0	0	19	1270	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0
