fileName	sampleID	read	Bacteroidetes	Firmicutes	Verrucomicrobia	Actinobacteria	Spirochaetes	Fusobacteria	Proteobacteria	Cyanobacteria.Chloroplast	Acidobacteria	Synergistetes	Tenericutes	Candidatus.Saccharibacteria	Deinococcus.Thermus	Thermotogae	SR1	Parcubacteria	Planctomycetes	Microgenomates	Lentisphaerae	Crenarchaeota
137_R2.fasta	137	2	25668	23631	5188	533	0	8	2931	0	0	0	0	0	0	0	0	0	0	0	0	0
138_R1.fasta	138	1	13179	31914	3777	160	0	7	3421	15	0	0	0	0	0	0	0	0	0	0	0	0
138_R2.fasta	138	2	13149	32436	3782	159	0	7	3392	10	0	0	0	0	0	0	0	0	0	0	0	0
139_R1.fasta	139	1	16991	36411	1884	87	0	1	5795	0	0	0	0	0	0	0	0	0	0	0	0	0
139_R2.fasta	139	2	16937	37769	1883	87	0	1	5720	0	0	0	0	0	0	0	0	0	0	0	0	1
140_R1.fasta	140	1	13720	11643	641	7	0	0	1422	3	0	0	0	0	0	0	0	0	0	0	0	0
140_R2.fasta	140	2	13693	11654	642	7	0	0	1416	2	1	0	0	0	0	0	0	0	0	0	0	0
141_R1.fasta	141	1	17685	13278	647	55	0	0	1528	0	0	0	0	0	0	0	0	0	0	0	0	0
141_R2.fasta	141	2	17645	13383	649	54	0	0	1514	0	0	0	0	0	0	0	0	0	0	0	0	0
142_R1.fasta	142	1	19868	15178	856	38	0	0	2906	0	0	0	0	2	0	0	0	0	0	0	0	0
142_R2.fasta	142	2	19851	15160	854	38	0	0	2873	0	0	0	0	2	0	0	0	0	0	0	0	0
143_R1.fasta	143	1	30275	15931	905	34	0	0	3665	0	0	0	0	0	0	0	0	0	0	0	0	0
143_R2.fasta	143	2	30222	16242	908	35	0	0	3629	0	0	0	0	0	0	0	0	0	0	0	0	0
144_R1.fasta	144	1	8395	14499	781	65	0	0	6857	0	0	0	0	0	0	0	0	0	0	0	0	0
144_R2.fasta	144	2	8370	14621	781	65	0	0	6801	0	0	0	0	0	0	0	0	0	0	0	0	0
145_R1.fasta	145	1	13891	17147	1232	172	0	2	2568	0	0	0	0	10	0	0	0	0	0	0	0	0
145_R2.fasta	145	2	13836	17202	1234	170	0	2	2542	0	0	0	0	9	0	0	0	0	0	0	0	0
146_R1.fasta	146	1	11204	27461	1005	139	0	0	7956	0	0	0	0	0	0	0	0	0	0	0	0	0
146_R2.fasta	146	2	11160	28870	1009	139	0	0	7888	0	1	0	0	0	0	0	0	0	0	0	0	0
147_R1.fasta	147	1	16672	14969	6790	112	0	0	2867	0	0	0	0	0	0	0	0	0	0	0	0	0
147_R2.fasta	147	2	16610	15251	6777	110	0	0	2846	0	0	0	0	0	0	0	0	0	0	0	0	0
148_R1.fasta	148	1	16592	26941	4430	95	0	0	1911	0	0	0	0	1	0	0	0	0	0	0	0	0
148_R2.fasta	148	2	16543	27234	4414	93	0	0	1890	0	1	0	0	4	0	0	0	0	0	0	0	0
149_R1.fasta	149	1	18247	13024	1985	14	0	2	4897	0	0	0	0	0	14	0	0	0	0	0	0	0
149_R2.fasta	149	2	18173	13160	1982	13	0	2	4849	0	0	0	0	0	15	0	0	0	0	0	0	0
150_R1.fasta	150	1	10576	17384	1847	7	0	0	1392	0	0	0	0	0	0	0	0	0	0	0	0	0
150_R2.fasta	150	2	10539	17783	1850	7	0	0	1373	0	0	0	0	0	0	0	0	0	0	0	0	0
151_R1.fasta	151	1	15081	14343	5338	177	0	2	4814	0	0	0	0	0	0	1	0	0	0	0	0	0
151_R2.fasta	151	2	15037	14354	5346	173	0	2	4763	0	0	0	0	0	0	0	0	0	0	0	0	0
152_R1.fasta	152	1	19391	22296	2388	25	0	0	2585	0	0	0	0	0	0	0	0	0	0	0	0	0
152_R2.fasta	152	2	19291	22606	2380	24	0	0	2561	0	0	0	0	0	0	0	0	0	0	0	0	0
153_R1.fasta	153	1	18871	16962	2032	62	0	0	5056	0	0	0	0	0	0	0	0	0	0	0	0	0
153_R2.fasta	153	2	18831	17126	2021	62	0	0	5012	0	0	0	0	0	0	0	0	0	0	0	0	1
154_R1.fasta	154	1	17184	14234	810	51	0	3	6499	0	0	0	0	0	0	0	0	0	0	0	0	0
154_R2.fasta	154	2	17119	14531	809	51	0	4	6452	0	0	0	0	0	0	0	0	0	0	0	0	0
155_R1.fasta	155	1	7485	15116	1502	127	0	3	1947	0	0	0	0	0	0	0	0	0	0	0	0	0
155_R2.fasta	155	2	7451	15127	1500	122	0	3	1928	0	1	0	0	0	0	0	0	0	0	0	0	0
156_R1.fasta	156	1	17777	23370	5459	135	0	0	3641	0	0	0	0	0	0	0	0	0	0	0	0	0
156_R2.fasta	156	2	17730	23382	5465	127	0	0	3608	0	0	0	0	0	0	0	0	0	0	0	0	0
157_R1.fasta	157	1	9716	15175	863	117	0	0	2383	0	0	0	0	0	0	0	0	0	0	0	0	0
157_R2.fasta	157	2	9673	15162	868	114	0	0	2356	0	0	0	0	0	0	0	0	0	0	0	0	0
158_R1.fasta	158	1	20689	13525	1827	13	0	0	1570	0	0	0	0	0	0	0	0	0	0	0	0	0
158_R2.fasta	158	2	20647	13594	1831	12	0	0	1557	0	0	0	0	0	0	0	0	0	0	0	0	0
159_R1.fasta	159	1	7625	23275	722	43	0	0	3055	0	0	0	0	0	0	0	0	0	0	0	0	0
159_R2.fasta	159	2	7582	23749	720	43	0	0	3022	0	0	0	0	0	0	0	0	0	0	0	0	0
160_R1.fasta	160	1	12698	14628	1745	12	0	0	924	0	0	0	0	0	0	0	0	0	0	0	0	0
160_R2.fasta	160	2	12660	14547	1744	12	0	0	911	0	0	0	0	0	0	0	0	0	0	0	0	0
161_R1.fasta	161	1	11671	11862	1216	6	0	2	4173	0	0	0	0	0	0	0	0	0	0	0	0	0
161_R2.fasta	161	2	11659	11955	1214	6	0	1	4129	0	0	0	0	0	0	0	0	0	0	0	0	0
162_R1.fasta	162	1	16065	11610	598	81	0	2	9575	0	0	0	0	0	0	0	0	0	0	0	0	0
162_R2.fasta	162	2	16017	11899	597	79	0	2	9496	0	0	0	0	0	0	0	0	0	0	0	0	0
163_R1.fasta	163	1	11880	18036	641	44	0	4	973	0	0	0	0	0	0	0	1	0	0	0	0	0
163_R2.fasta	163	2	11848	18147	642	44	0	4	956	0	0	0	0	0	0	0	1	0	0	0	0	0
164_R1.fasta	164	1	9014	13653	856	70	0	0	2764	0	0	0	0	0	0	0	0	0	0	0	0	0
164_R2.fasta	164	2	8972	13776	857	74	0	0	2737	0	0	0	0	0	0	0	0	0	0	0	0	0
165_R1.fasta	165	1	5571	7295	620	3	0	0	1753	0	0	0	0	0	0	0	0	0	0	0	0	0
165_R2.fasta	165	2	5547	7430	620	3	0	0	1728	0	1	0	0	0	0	0	0	0	0	0	0	0
166_R1.fasta	166	1	3817	13500	834	6	0	0	3559	0	0	0	0	0	0	0	0	0	0	0	0	0
166_R2.fasta	166	2	3786	13626	832	6	0	0	3511	0	0	0	0	0	0	0	0	0	0	0	0	0
167_R1.fasta	167	1	9987	7823	1237	59	0	7	3006	0	14	0	0	0	0	0	0	0	0	0	0	0
167_R2.fasta	167	2	9957	7769	1234	57	0	6	2969	0	14	0	0	0	0	0	0	0	0	0	0	0
168_R1.fasta	168	1	16298	13118	1505	2	0	10	3367	0	0	0	0	28	0	0	0	0	0	0	0	1
168_R2.fasta	168	2	16287	13253	1509	2	0	10	3336	0	1	0	0	37	0	0	0	0	0	0	0	0
169_R1.fasta	169	1	25451	18148	1774	10	0	1	2673	0	0	0	0	0	0	0	0	0	0	0	0	0
169_R2.fasta	169	2	25434	18152	1782	9	0	1	2652	0	0	0	0	0	0	0	0	3	0	0	0	0
170_R1.fasta	170	1	17275	14020	1527	5	0	1	2827	0	0	0	0	0	0	0	0	0	0	0	0	0
170_R2.fasta	170	2	17209	14029	1525	3	0	1	2804	0	0	0	0	0	0	0	0	0	0	0	0	0
171_R1.fasta	171	1	1750	4936	73	44	0	0	1945	0	0	0	0	0	0	0	0	0	0	0	0	0
171_R2.fasta	171	2	1740	4949	75	41	0	0	1914	0	1	0	0	0	0	0	0	0	0	0	0	0
172_R1.fasta	172	1	11774	14598	639	28	0	0	1340	0	0	0	0	0	0	0	0	0	0	0	0	0
172_R2.fasta	172	2	11732	14631	638	26	0	0	1320	0	0	0	0	0	0	0	0	0	0	0	0	0
173_R1.fasta	173	1	12976	11372	1132	50	0	0	6593	0	0	0	0	0	0	0	0	0	0	0	0	0
173_R2.fasta	173	2	12942	11270	1130	50	0	0	6531	0	0	0	0	0	0	0	0	0	0	0	0	1
174_R1.fasta	174	1	2227	8732	360	26	0	0	3558	0	0	0	0	0	0	0	0	0	0	0	0	0
174_R2.fasta	174	2	2221	8819	359	26	0	0	3539	0	0	0	0	0	0	0	0	0	0	0	0	0
175_R1.fasta	175	1	13778	20830	1451	27	0	0	1178	0	0	0	0	0	0	0	0	0	0	0	0	0
175_R2.fasta	175	2	13733	20910	1450	27	0	0	1164	0	0	0	0	0	0	0	0	0	0	0	0	0
176_R1.fasta	176	1	8787	10727	2546	0	0	0	937	48	0	0	0	0	0	0	0	0	0	0	0	0
176_R2.fasta	176	2	8756	10792	2546	0	0	0	927	43	1	0	0	0	0	0	0	0	0	0	0	0
177_R1.fasta	177	1	6213	19628	1393	68	0	0	1741	0	0	0	0	0	0	0	0	0	0	0	0	0
177_R2.fasta	177	2	6197	19762	1395	68	0	0	1724	0	0	0	0	0	0	0	0	0	0	0	0	1
178_R1.fasta	178	1	9826	22323	455	49	0	3	2514	0	0	0	0	0	0	0	0	0	0	0	0	0
178_R2.fasta	178	2	9791	22510	455	48	0	3	2497	0	0	0	0	0	0	0	0	0	0	0	0	1
179_R1.fasta	179	1	3830	4536	3	16	0	1	884	0	0	0	0	0	0	0	0	0	3	0	0	0
179_R2.fasta	179	2	3804	4307	2	14	0	1	845	0	0	0	0	0	0	0	0	0	3	0	0	1
180_R1.fasta	180	1	16839	31707	2764	11	0	8	1091	0	0	0	0	0	0	0	0	0	0	0	0	0
180_R2.fasta	180	2	16682	32468	2755	10	0	8	1039	0	0	0	0	0	0	0	0	0	0	0	0	0
