fileName	sampleID	read	Bacteroidia	Flavobacteriia	Sphingobacteriia	Cytophagia	Clostridia	Bacilli	Erysipelotrichia	Negativicutes	Verrucomicrobiae	Actinobacteria	Spirochaetia	Fusobacteriia	Epsilonproteobacteria	Gammaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Alphaproteobacteria	Chloroplast	Acidobacteria_Gp5	Acidobacteria_Gp4	Synergistia	Mollicutes	Deinococci	Thermotogae	Planctomycetia	Lentisphaeria	Thermoprotei
140_R2.fasta	140	2	13524	8	1	0	9985	92	1426	0	640	7	0	0	0	303	1064	0	44	2	0	0	0	0	0	0	0	0	0
141_R1.fasta	141	1	17635	10	1	0	11437	269	1421	0	647	55	0	0	0	407	1101	9	11	0	0	0	0	0	0	0	0	0	0
141_R2.fasta	141	2	17471	9	1	0	11448	265	1444	0	649	54	0	0	0	402	1086	9	12	0	0	0	0	0	0	0	0	0	0
142_R1.fasta	142	1	19793	0	4	0	11370	1701	1811	0	856	38	0	0	0	576	2268	15	46	0	0	0	0	0	0	0	0	0	0
142_R2.fasta	142	2	19561	0	4	0	11385	1696	1840	0	854	38	0	0	0	561	2239	14	45	0	0	0	0	0	0	0	0	0	0
143_R1.fasta	143	1	30118	26	0	0	13243	366	2047	0	905	34	0	0	0	687	2942	0	29	0	0	0	0	0	0	0	0	0	0
143_R2.fasta	143	2	29771	26	0	0	13582	365	2076	0	908	35	0	0	0	681	2903	0	30	0	0	0	0	0	0	0	0	0	0
144_R1.fasta	144	1	8338	14	8	0	5208	8352	689	0	781	65	0	0	0	3584	3061	93	113	0	0	0	0	0	0	0	0	0	0
144_R2.fasta	144	2	8240	19	8	0	5202	8375	832	0	781	65	0	0	0	3535	3028	93	112	0	0	0	0	0	0	0	0	0	0
145_R1.fasta	145	1	13812	13	26	0	12422	2866	1752	0	1232	172	0	2	0	428	2111	0	28	0	0	0	0	0	0	0	0	0	0
145_R2.fasta	145	2	13582	14	26	0	12376	2859	1769	0	1233	170	0	2	0	421	2085	0	27	0	0	0	0	0	0	0	0	0	0
146_R1.fasta	146	1	11109	29	18	0	21694	3384	2117	0	1005	139	0	0	0	1271	6480	8	192	0	0	0	0	0	0	0	0	0	0
146_R2.fasta	146	2	10884	29	16	0	22537	3371	2736	0	1009	139	0	0	0	1251	6408	8	191	0	0	0	0	0	0	0	0	0	0
147_R1.fasta	147	1	16577	16	22	0	12917	737	1090	0	6790	112	0	0	0	445	2358	0	61	0	0	0	0	0	0	0	0	0	0
147_R2.fasta	147	2	16291	15	22	0	12945	740	1432	0	6776	110	0	0	0	439	2337	0	62	0	0	0	0	0	0	0	0	0	0
148_R1.fasta	148	1	16521	2	0	0	14661	10353	1681	0	4430	95	0	0	0	510	1114	264	22	0	0	0	0	0	0	0	0	0	0
148_R2.fasta	148	2	16222	2	0	0	14671	10364	1996	0	4413	93	0	0	0	501	1097	263	21	0	0	0	0	0	0	0	0	0	0
149_R1.fasta	149	1	18153	0	1	0	8564	3271	1015	0	1985	14	0	2	0	4485	398	0	11	0	0	0	0	0	14	0	0	0	0
149_R2.fasta	149	2	17921	0	0	0	8540	3248	1224	0	1982	13	0	2	0	4434	387	0	12	0	0	0	0	0	15	0	0	0	0
150_R1.fasta	150	1	10510	31	10	0	14136	698	2388	0	1846	7	0	0	0	218	1136	0	36	0	0	0	0	0	0	0	0	0	0
150_R2.fasta	150	2	10360	31	8	0	14135	689	2828	0	1849	7	0	0	0	211	1122	0	29	0	0	0	0	0	0	0	0	0	0
151_R1.fasta	151	1	14985	48	0	0	7456	6748	81	0	5337	177	0	2	1	943	3838	0	26	0	0	0	0	0	0	1	0	0	0
151_R2.fasta	151	2	14677	48	0	0	7465	6703	79	0	5346	173	0	2	1	925	3785	0	26	0	0	0	0	0	0	0	0	0	0
152_R1.fasta	152	1	19284	23	1	0	9599	11687	744	0	2388	25	0	0	0	1236	1320	0	26	0	0	0	0	0	0	0	0	0	0
152_R2.fasta	152	2	19040	22	0	0	9642	11628	1061	0	2380	24	0	0	0	1227	1294	0	26	0	0	0	0	0	0	0	0	0	0
153_R1.fasta	153	1	18735	38	6	7	14475	1558	827	0	2032	62	0	0	0	917	4040	0	91	0	0	0	0	0	0	0	0	0	0
153_R2.fasta	153	2	18556	36	6	5	14522	1545	932	0	2021	62	0	0	0	906	3996	0	92	0	0	0	0	0	0	0	0	0	1
154_R1.fasta	154	1	17118	6	6	0	11997	991	1118	0	810	51	0	3	0	1025	5394	0	74	0	0	0	0	0	0	0	0	0	0
154_R2.fasta	154	2	16873	6	5	0	12053	985	1339	0	809	51	0	4	0	1015	5333	0	74	0	0	0	0	0	0	0	0	0	0
155_R1.fasta	155	1	7445	5	0	0	2832	12227	8	0	1502	127	0	3	0	363	1540	0	39	0	0	0	0	0	0	0	0	0	0
155_R2.fasta	155	2	7310	5	0	0	2825	12105	8	0	1500	122	0	3	0	356	1522	0	40	0	0	0	0	0	0	0	0	0	0
156_R1.fasta	156	1	17661	63	0	0	8563	14744	0	0	5459	135	0	0	0	387	3143	0	106	0	0	0	0	0	0	0	0	0	0
156_R2.fasta	156	2	17334	62	0	0	8560	14627	0	0	5464	127	0	0	0	379	3109	0	106	0	0	0	0	0	0	0	0	0	0
157_R1.fasta	157	1	9659	0	14	0	4164	10958	2	0	863	117	0	0	0	414	1860	0	105	0	0	0	0	0	0	0	0	0	0
157_R2.fasta	157	2	9475	0	13	0	4148	10852	1	0	868	114	0	0	0	407	1839	0	104	0	0	0	0	0	0	0	0	0	0
158_R1.fasta	158	1	20598	4	2	0	10830	1193	1442	0	1827	13	0	0	0	570	994	0	6	0	0	0	0	0	0	0	0	0	0
158_R2.fasta	158	2	20407	5	3	0	10810	1200	1412	0	1831	12	0	0	0	560	983	0	6	0	0	0	0	0	0	0	0	0	0
159_R1.fasta	159	1	7569	0	30	0	13956	8224	827	0	722	43	0	0	0	645	2376	0	29	0	0	0	0	0	0	0	0	0	0
159_R2.fasta	159	2	7466	0	31	0	13995	8187	1227	0	720	43	0	0	0	627	2348	0	30	0	0	0	0	0	0	0	0	0	0
160_R1.fasta	160	1	12635	7	18	0	11726	1716	990	0	1745	12	0	0	0	582	341	0	0	0	0	0	0	0	0	0	0	0	0
160_R2.fasta	160	2	12493	7	18	0	11660	1718	1010	0	1744	12	0	0	0	570	335	0	0	0	0	0	0	0	0	0	0	0	0
161_R1.fasta	161	1	11587	36	14	0	7783	3125	849	1	1216	6	0	2	0	1170	2991	0	6	0	0	0	0	0	0	0	0	0	0
161_R2.fasta	161	2	11450	35	14	0	7803	3110	963	0	1214	6	0	1	0	1156	2945	0	6	0	0	0	0	0	0	0	0	0	0
162_R1.fasta	162	1	15800	192	19	0	5975	5107	336	10	598	81	0	2	1	2837	6599	0	130	0	0	0	0	0	0	0	0	0	0
162_R2.fasta	162	2	15623	188	18	0	5982	5075	717	10	597	79	0	2	0	2786	6528	0	126	0	0	0	0	0	0	0	0	0	0
163_R1.fasta	163	1	11812	2	34	0	11238	5459	1200	2	641	44	0	4	0	483	475	0	12	0	0	0	0	0	0	0	0	0	0
163_R2.fasta	163	2	11651	1	33	0	11198	5420	1313	2	642	44	0	4	0	477	465	0	13	0	0	0	0	0	0	0	0	0	0
164_R1.fasta	164	1	8988	0	1	0	6199	6541	751	0	856	70	0	0	0	1358	1266	54	83	0	0	0	0	0	0	0	0	0	0
164_R2.fasta	164	2	8825	0	0	0	6194	6489	956	0	857	74	0	0	0	1342	1247	52	84	0	0	0	0	0	0	0	0	0	0
165_R1.fasta	165	1	5542	0	0	0	3746	3145	325	0	620	3	0	0	0	493	1229	31	0	0	0	0	0	0	0	0	0	0	0
165_R2.fasta	165	2	5457	0	0	0	3768	3149	460	0	620	3	0	0	0	485	1204	31	0	0	0	0	0	0	0	0	0	0	0
166_R1.fasta	166	1	3710	83	9	0	9888	3005	534	0	834	6	0	0	0	713	2841	0	0	0	0	0	0	0	0	0	0	0	0
166_R2.fasta	166	2	3639	82	7	0	9916	2987	635	0	831	6	0	0	0	691	2793	0	0	0	0	0	0	0	0	0	0	0	0
167_R1.fasta	167	1	9916	0	2	23	4394	2640	643	0	1237	59	0	7	0	878	2024	61	37	0	0	14	0	0	0	0	0	0	0
167_R2.fasta	167	2	9777	0	0	25	4380	2622	669	0	1234	57	0	6	0	862	1994	63	37	0	0	14	0	0	0	0	0	0	0
168_R1.fasta	168	1	16227	2	0	0	10692	596	1748	0	1504	2	0	10	0	1404	1933	0	26	0	0	0	0	0	0	0	0	0	1
168_R2.fasta	168	2	16111	2	0	0	10696	599	1849	0	1509	2	0	10	0	1387	1909	0	26	0	0	0	0	0	0	0	0	0	0
169_R1.fasta	169	1	25334	2	1	0	15627	591	1884	1	1774	10	0	1	1	848	1769	0	53	0	0	0	0	0	0	0	0	0	0
169_R2.fasta	169	2	25135	2	0	0	15590	589	1855	1	1782	9	0	1	0	836	1750	0	53	0	0	0	0	0	0	0	0	0	0
170_R1.fasta	170	1	17184	0	41	0	10108	2806	1040	0	1527	5	0	1	0	1091	1734	1	0	0	0	0	0	0	0	0	0	0	0
170_R2.fasta	170	2	16944	0	37	0	10055	2814	1060	0	1525	3	0	1	0	1077	1709	0	2	0	0	0	0	0	0	0	0	0	0
171_R1.fasta	171	1	1737	7	0	0	1668	2943	274	0	73	44	0	0	0	636	1282	0	22	0	0	0	0	0	0	0	0	0	0
171_R2.fasta	171	2	1696	7	0	0	1646	2934	268	0	74	41	0	0	0	615	1263	0	22	0	0	0	0	0	0	0	0	0	0
172_R1.fasta	172	1	11745	0	0	0	11161	2312	1024	0	639	28	0	0	0	249	1067	2	19	0	0	0	0	0	0	0	0	0	0
172_R2.fasta	172	2	11574	0	0	0	11040	2307	1108	0	638	26	0	0	0	238	1054	2	19	0	0	0	0	0	0	0	0	0	0
173_R1.fasta	173	1	12829	58	30	0	9537	1027	666	0	1132	50	0	0	0	1404	5133	0	50	0	0	0	0	0	0	0	0	0	0
173_R2.fasta	173	2	12647	57	28	0	9422	1028	676	0	1130	50	0	0	0	1376	5087	0	43	0	0	0	0	0	0	0	0	0	1
174_R1.fasta	174	1	2184	15	20	0	6370	1700	644	0	360	26	0	0	0	467	3019	0	70	0	0	0	0	0	0	0	0	0	0
174_R2.fasta	174	2	2173	15	14	0	6361	1702	653	0	359	26	0	0	0	455	3001	0	70	0	0	0	0	0	0	0	0	0	0
175_R1.fasta	175	1	13737	0	0	0	12031	6832	1901	0	1451	27	0	0	0	747	430	0	0	0	0	0	0	0	0	0	0	0	0
175_R2.fasta	175	2	13602	0	0	0	12016	6839	1774	0	1449	27	0	0	0	738	425	0	0	0	0	0	0	0	0	0	0	0	0
176_R1.fasta	176	1	8757	0	0	0	6306	4007	393	0	2546	0	0	0	0	543	393	0	0	48	0	0	0	0	0	0	0	0	0
176_R2.fasta	176	2	8671	0	0	0	6284	4011	421	0	2546	0	0	0	0	537	388	0	0	43	1	0	0	0	0	0	0	0	0
177_R1.fasta	177	1	6198	0	0	0	15557	3185	829	0	1393	68	0	0	0	379	1317	1	40	0	0	0	0	0	0	0	0	0	0
177_R2.fasta	177	2	6138	0	0	0	15637	3167	866	0	1395	68	0	0	0	367	1310	0	41	0	0	0	0	0	0	0	0	0	1
178_R1.fasta	178	1	9785	12	0	0	6439	15204	605	4	455	49	0	3	0	1668	844	0	0	0	0	0	0	0	0	0	0	0	0
178_R2.fasta	178	2	9665	12	0	0	6417	15097	716	3	455	48	0	3	0	1657	826	0	0	0	0	0	0	0	0	0	0	0	1
179_R1.fasta	179	1	3816	0	0	0	2971	1230	77	124	3	16	0	1	0	88	546	247	0	0	0	0	0	0	0	0	3	0	0
179_R2.fasta	179	2	3757	0	0	0	2887	1218	31	122	2	14	0	1	0	60	538	246	0	0	0	0	0	0	0	0	3	0	1
180_R1.fasta	180	1	16786	10	4	0	28566	375	2650	6	2764	11	0	8	2	189	888	2	10	0	0	0	0	0	0	0	0	0	0
180_R2.fasta	180	2	16442	10	4	0	28581	373	3168	6	2754	10	0	8	1	182	834	2	10	0	0	0	0	0	0	0	0	0	0
